artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Zack Tabudlo,Yakap,0HNCZzy2tqjuLZJuTDGdAW,Yakap,3h8uWt8HNyDNubPSEBgTPG,70,2022-07-22,178947,False,https://open.spotify.com/track/3h8uWt8HNyDNubPSEBgTPG,False,https://p.scdn.co/mp3-preview/acaaeaa1a2b2198ab724318392da0d3e6c4314f2?cid=78e434819ce74de2a9da9bd344483f65,1,0.738,0.39,8,-8.437,1,0.0334,0.409,0.0,0.107,0.547,113.979,audio_features,3h8uWt8HNyDNubPSEBgTPG,spotify:track:3h8uWt8HNyDNubPSEBgTPG,https://api.spotify.com/v1/tracks/3h8uWt8HNyDNubPSEBgTPG,https://api.spotify.com/v1/audio-analysis/3h8uWt8HNyDNubPSEBgTPG,178947,4
Zack Tabudlo,Asan Ka Na Ba,0MK93ibEen72O8dosu3WXE,Asan Ka Na Ba,5MYPzdIWgx3pMLRGlq2fVq,67,2022-03-25,241132,False,https://open.spotify.com/track/5MYPzdIWgx3pMLRGlq2fVq,False,https://p.scdn.co/mp3-preview/437db391095653fb87594dc800c3d1d8e627257b?cid=78e434819ce74de2a9da9bd344483f65,1,0.676,0.768,5,-5.695,0,0.0294,0.149,0.00147,0.345,0.493,105.999,audio_features,5MYPzdIWgx3pMLRGlq2fVq,spotify:track:5MYPzdIWgx3pMLRGlq2fVq,https://api.spotify.com/v1/tracks/5MYPzdIWgx3pMLRGlq2fVq,https://api.spotify.com/v1/audio-analysis/5MYPzdIWgx3pMLRGlq2fVq,241132,4
Ben Rector,What Makes a Man,3PikP2CR0EgvgP2NSwoLrx,What Makes a Man,4nWoYN8aF05BZgeMj7sbnp,48,2022-08-05,210617,False,https://open.spotify.com/track/4nWoYN8aF05BZgeMj7sbnp,False,https://p.scdn.co/mp3-preview/6e13ea9611e516356bcbd0745c00cda0af370c73?cid=78e434819ce74de2a9da9bd344483f65,1,0.558,0.605,9,-6.089,1,0.0303,0.353,0.0,0.177,0.305,89.846,audio_features,4nWoYN8aF05BZgeMj7sbnp,spotify:track:4nWoYN8aF05BZgeMj7sbnp,https://api.spotify.com/v1/tracks/4nWoYN8aF05BZgeMj7sbnp,https://api.spotify.com/v1/audio-analysis/4nWoYN8aF05BZgeMj7sbnp,210617,4
Amos Lee,Dreamland,1Mik9EmHCENXPMjHOgOwRB,Worry No More,4Fl07whZv6iX3LK9FDy1gT,49,2022-02-11,221013,False,https://open.spotify.com/track/4Fl07whZv6iX3LK9FDy1gT,False,https://p.scdn.co/mp3-preview/8c445d18ca6d71170abf6ebb9a2ad00a75ab5f4b?cid=78e434819ce74de2a9da9bd344483f65,2,0.531,0.414,9,-9.904,0,0.0293,0.556,0.000572,0.0913,0.305,80.021,audio_features,4Fl07whZv6iX3LK9FDy1gT,spotify:track:4Fl07whZv6iX3LK9FDy1gT,https://api.spotify.com/v1/tracks/4Fl07whZv6iX3LK9FDy1gT,https://api.spotify.com/v1/audio-analysis/4Fl07whZv6iX3LK9FDy1gT,221013,4
Trevor Hall,Hold On (with Gone Gone Beyond),0MuMD4B9QNIapJlfNXMaod,Hold On (with Gone Gone Beyond),1Zt5xYz9Fnsoa5rkbSPJWe,48,2022-08-19,207812,False,https://open.spotify.com/track/1Zt5xYz9Fnsoa5rkbSPJWe,False,https://p.scdn.co/mp3-preview/e386b6a1e2ef9c534a2af8704e8e0d1a93ba5154?cid=78e434819ce74de2a9da9bd344483f65,1,0.638,0.513,7,-10.218,1,0.0328,0.809,0.00103,0.134,0.271,77.999,audio_features,1Zt5xYz9Fnsoa5rkbSPJWe,spotify:track:1Zt5xYz9Fnsoa5rkbSPJWe,https://api.spotify.com/v1/tracks/1Zt5xYz9Fnsoa5rkbSPJWe,https://api.spotify.com/v1/audio-analysis/1Zt5xYz9Fnsoa5rkbSPJWe,207812,4
NEEDTOBREATHE,Talk of the Town,0zvyYHDg3kFHlcXmVfwL8B,Talk of the Town,4rTD34yd4a3ECP7vpkyFf0,46,2022-06-23,207471,False,https://open.spotify.com/track/4rTD34yd4a3ECP7vpkyFf0,False,https://p.scdn.co/mp3-preview/a9827d37da4801c34c3140b37b3d19c138f10b58?cid=78e434819ce74de2a9da9bd344483f65,1,0.466,0.901,8,-1.945,0,0.0502,0.00661,0.0,0.091,0.77,88.858,audio_features,4rTD34yd4a3ECP7vpkyFf0,spotify:track:4rTD34yd4a3ECP7vpkyFf0,https://api.spotify.com/v1/tracks/4rTD34yd4a3ECP7vpkyFf0,https://api.spotify.com/v1/audio-analysis/4rTD34yd4a3ECP7vpkyFf0,207472,4
Drew Holcomb,Coming Home: A Collection of Songs,6fuKDHZ9UfLmssjdRTjPfz,Feels Like Home,57xzwvRZnHMmLu0k2yQ2GJ,43,2022-01-14,243973,False,https://open.spotify.com/track/57xzwvRZnHMmLu0k2yQ2GJ,False,https://p.scdn.co/mp3-preview/8c8e0f8dd55d90a6201ca4d88b2bc3de774a8bca?cid=78e434819ce74de2a9da9bd344483f65,3,0.606,0.532,2,-7.69,1,0.0319,0.105,0.00032,0.111,0.112,72.991,audio_features,57xzwvRZnHMmLu0k2yQ2GJ,spotify:track:57xzwvRZnHMmLu0k2yQ2GJ,https://api.spotify.com/v1/tracks/57xzwvRZnHMmLu0k2yQ2GJ,https://api.spotify.com/v1/audio-analysis/57xzwvRZnHMmLu0k2yQ2GJ,243973,4
Trevor Hall,2 Oceans,1KsD536VfBAiqRASMt6VdL,2 Oceans,0goA2cYxU9k2XfQHzo6WcP,47,2022-04-01,213055,False,https://open.spotify.com/track/0goA2cYxU9k2XfQHzo6WcP,False,https://p.scdn.co/mp3-preview/621dda13888ac6eddd5a377e0e47d749702d8c10?cid=78e434819ce74de2a9da9bd344483f65,1,0.588,0.569,9,-7.721,1,0.0295,0.303,0.0342,0.101,0.209,101.988,audio_features,0goA2cYxU9k2XfQHzo6WcP,spotify:track:0goA2cYxU9k2XfQHzo6WcP,https://api.spotify.com/v1/tracks/0goA2cYxU9k2XfQHzo6WcP,https://api.spotify.com/v1/audio-analysis/0goA2cYxU9k2XfQHzo6WcP,213056,4
Brett Dennen,This Is Going To Be The Year,5lcSCem101LKn2rIxoODBU,This Is Going To Be The Year,4ijH0M7n6oM4ZARKcInAyv,46,2022-12-16,252507,False,https://open.spotify.com/track/4ijH0M7n6oM4ZARKcInAyv,False,https://p.scdn.co/mp3-preview/41e02de14c686933d757384539ed0eb53fa554bd?cid=78e434819ce74de2a9da9bd344483f65,1,0.375,0.494,11,-7.797,1,0.0324,0.0926,0.0,0.178,0.516,179.888,audio_features,4ijH0M7n6oM4ZARKcInAyv,spotify:track:4ijH0M7n6oM4ZARKcInAyv,https://api.spotify.com/v1/tracks/4ijH0M7n6oM4ZARKcInAyv,https://api.spotify.com/v1/audio-analysis/4ijH0M7n6oM4ZARKcInAyv,252508,4
Sara Bareilles,Into The Woods (2022 Broadway Cast Recording),5z6BFXI711HbSAXDjgOAHE,Moments In The Woods,5rUHTkUWnJ7M1l6glNkBJi,44,2022-09-30,183331,False,https://open.spotify.com/track/5rUHTkUWnJ7M1l6glNkBJi,False,https://p.scdn.co/mp3-preview/d9c1dd90a1e2f6a0c3c507720444d1f8d58192cf?cid=78e434819ce74de2a9da9bd344483f65,20,0.515,0.217,2,-12.197,1,0.0568,0.85,0.0,0.188,0.339,129.184,audio_features,5rUHTkUWnJ7M1l6glNkBJi,spotify:track:5rUHTkUWnJ7M1l6glNkBJi,https://api.spotify.com/v1/tracks/5rUHTkUWnJ7M1l6glNkBJi,https://api.spotify.com/v1/audio-analysis/5rUHTkUWnJ7M1l6glNkBJi,183331,4
