,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Ben Rector,The Walking in Between,0kuIIUFaebmwLCmhp6nwVu,Forever Like That,7wF4asYZw8cAHEljYd2Wid,48,2013-08-20,254026,False,https://open.spotify.com/track/7wF4asYZw8cAHEljYd2Wid,False,https://p.scdn.co/mp3-preview/a33c6bc800fae25df16f64a965aefdb47048045d?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.592,0.304,8,-9.833,1,0.0298,0.564,0.0,0.107,0.307,114.72,audio_features,7wF4asYZw8cAHEljYd2Wid,spotify:track:7wF4asYZw8cAHEljYd2Wid,https://api.spotify.com/v1/tracks/7wF4asYZw8cAHEljYd2Wid,https://api.spotify.com/v1/audio-analysis/7wF4asYZw8cAHEljYd2Wid,254027,3
11,The National Parks,Young,7c7WXAvGLEnfritd5ir09k,Wind & Anchor,34fJIXIKjz8tbUwzRiD4lj,47,2013-09-03,188493,False,https://open.spotify.com/track/34fJIXIKjz8tbUwzRiD4lj,False,https://p.scdn.co/mp3-preview/8770a71ff0355d9231f702f550dcbf5a4815723a?cid=78e434819ce74de2a9da9bd344483f65,11,acoustic,0.44,0.324,6,-9.468,1,0.0307,0.777,1.41e-06,0.0621,0.328,79.382,audio_features,34fJIXIKjz8tbUwzRiD4lj,spotify:track:34fJIXIKjz8tbUwzRiD4lj,https://api.spotify.com/v1/tracks/34fJIXIKjz8tbUwzRiD4lj,https://api.spotify.com/v1/audio-analysis/34fJIXIKjz8tbUwzRiD4lj,188493,4
12,Gabrielle Aplin,English Rain,7kyjDxYcff3MeWKtw0fnLW,Please Don't Say You Love Me,2PIlBukQ6limukVR8Ubb5o,53,2013-05-13,181400,False,https://open.spotify.com/track/2PIlBukQ6limukVR8Ubb5o,False,https://p.scdn.co/mp3-preview/d8d1a47975467b36804e72ada703056137b30ddd?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.479,0.541,0,-9.862,1,0.0545,0.737,0.0,0.108,0.321,85.994,audio_features,2PIlBukQ6limukVR8Ubb5o,spotify:track:2PIlBukQ6limukVR8Ubb5o,https://api.spotify.com/v1/tracks/2PIlBukQ6limukVR8Ubb5o,https://api.spotify.com/v1/audio-analysis/2PIlBukQ6limukVR8Ubb5o,181400,4
13,Five For Fighting,Bookmarks,4jp3FXjLRy8upwcvWZJAh0,What If,22KbVMZekQbkrHGrubQTpQ,49,2013-09-17,207228,False,https://open.spotify.com/track/22KbVMZekQbkrHGrubQTpQ,False,https://p.scdn.co/mp3-preview/234e4f130eb1ed1f5b544b579d677e806304ffbf?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.565,0.895,0,-5.354,1,0.04,0.194,0.0,0.101,0.592,149.919,audio_features,22KbVMZekQbkrHGrubQTpQ,spotify:track:22KbVMZekQbkrHGrubQTpQ,https://api.spotify.com/v1/tracks/22KbVMZekQbkrHGrubQTpQ,https://api.spotify.com/v1/audio-analysis/22KbVMZekQbkrHGrubQTpQ,207228,4
14,Ichiko Aoba,0,4yqm0ZLcphXs8M8cVvLKym,いきのこり●ぼくら,6ad7bQ48TlqAgebCExUJVe,51,2013-10-23,406103,False,https://open.spotify.com/track/6ad7bQ48TlqAgebCExUJVe,False,https://p.scdn.co/mp3-preview/ef5a41122e349ec685c1d7829b9d2de674bd35cc?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.592,0.0833,0,-16.517,0,0.0835,0.946,0.0791,0.0941,0.205,143.243,audio_features,6ad7bQ48TlqAgebCExUJVe,spotify:track:6ad7bQ48TlqAgebCExUJVe,https://api.spotify.com/v1/tracks/6ad7bQ48TlqAgebCExUJVe,https://api.spotify.com/v1/audio-analysis/6ad7bQ48TlqAgebCExUJVe,406103,4
15,Human Petting Zoo,Human Petting Zoo Demo,2YeTOcs58EvUgmS2LcN6Eh,Anxiety Song,0M4OYuJUxu4fnJ2cRrAkEk,45,2013-04-21,81528,False,https://open.spotify.com/track/0M4OYuJUxu4fnJ2cRrAkEk,False,https://p.scdn.co/mp3-preview/d546632ed638867d19968c0e3fa4b3ca12806716?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.713,0.526,0,-3.345,1,0.0532,0.94,0.0,0.126,0.66,128.35,audio_features,0M4OYuJUxu4fnJ2cRrAkEk,spotify:track:0M4OYuJUxu4fnJ2cRrAkEk,https://api.spotify.com/v1/tracks/0M4OYuJUxu4fnJ2cRrAkEk,https://api.spotify.com/v1/audio-analysis/0M4OYuJUxu4fnJ2cRrAkEk,81528,4
16,Front Porch Step,Aware,3z55Kfwyk2NIUHhcMGZ7Yb,If I Tremble,1AdGLaV4su8jF1G6VkpH8v,43,2013-11-12,246240,False,https://open.spotify.com/track/1AdGLaV4su8jF1G6VkpH8v,False,https://p.scdn.co/mp3-preview/085e3b99ccc7e3673dddd9af02f1aa8537e2ecfe?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.779,0.373,1,-7.114,1,0.0287,0.438,0.0,0.109,0.444,106.466,audio_features,1AdGLaV4su8jF1G6VkpH8v,spotify:track:1AdGLaV4su8jF1G6VkpH8v,https://api.spotify.com/v1/tracks/1AdGLaV4su8jF1G6VkpH8v,https://api.spotify.com/v1/audio-analysis/1AdGLaV4su8jF1G6VkpH8v,246240,4
17,The Civil Wars,The Civil Wars,79FSQez4eiOFA4Kx8Bxgyy,Dust to Dust,0vwRHdpyDLRchRBtMjjjBH,44,2013-08-02,229666,False,https://open.spotify.com/track/0vwRHdpyDLRchRBtMjjjBH,False,https://p.scdn.co/mp3-preview/ce5e17e259afbeb234014a6c607518d25132365c?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.744,0.273,1,-14.149,1,0.0351,0.748,0.0255,0.11,0.194,138.016,audio_features,0vwRHdpyDLRchRBtMjjjBH,spotify:track:0vwRHdpyDLRchRBtMjjjBH,https://api.spotify.com/v1/tracks/0vwRHdpyDLRchRBtMjjjBH,https://api.spotify.com/v1/audio-analysis/0vwRHdpyDLRchRBtMjjjBH,229667,4
18,Days N Daze,Rogue Taxidermy,330b5MZdlUJcPOkei9G4KM,Misanthropic Drunken Loner,6J56Td7qsOpP0YighOsWL6,45,2013-08-23,212035,True,https://open.spotify.com/track/6J56Td7qsOpP0YighOsWL6,False,https://p.scdn.co/mp3-preview/3cd66a5e6988656ef3d78b72f851b9ed6eb7dd2b?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.484,0.415,5,-11.546,1,0.043,0.349,2.2e-06,0.295,0.858,92.204,audio_features,6J56Td7qsOpP0YighOsWL6,spotify:track:6J56Td7qsOpP0YighOsWL6,https://api.spotify.com/v1/tracks/6J56Td7qsOpP0YighOsWL6,https://api.spotify.com/v1/audio-analysis/6J56Td7qsOpP0YighOsWL6,212036,4
19,Front Porch Step,Aware,3z55Kfwyk2NIUHhcMGZ7Yb,Private Fears in Public Places,1XkKYN6tyLAYHjYkjNlbl5,42,2013-11-12,265172,False,https://open.spotify.com/track/1XkKYN6tyLAYHjYkjNlbl5,False,https://p.scdn.co/mp3-preview/efc4080bf449f7b578ced6ffc89accb8d5314f74?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.361,0.436,11,-5.834,1,0.0288,0.0833,0.0,0.279,0.334,67.353,audio_features,1XkKYN6tyLAYHjYkjNlbl5,spotify:track:1XkKYN6tyLAYHjYkjNlbl5,https://api.spotify.com/v1/tracks/1XkKYN6tyLAYHjYkjNlbl5,https://api.spotify.com/v1/audio-analysis/1XkKYN6tyLAYHjYkjNlbl5,265173,4
