,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),64SChsjQBiEe3aVTFYnW1b,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,66,2012-04-13,240165,False,https://open.spotify.com/track/53QF56cjZA9RTuuMZDrSA6,False,https://p.scdn.co/mp3-preview/bf486b927761bf9955f95009823b0ceabd92409f?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,audio_features,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166,3
1,Brandi Carlile,Bear Creek,5b8YTIrc88vdnfRguZqvVE,Heart's Content,0pegFWSUOTiG0sLVEfxtvA,57,2012-06-01,214666,False,https://open.spotify.com/track/0pegFWSUOTiG0sLVEfxtvA,False,https://p.scdn.co/mp3-preview/1d363880c57d0dd7bc3af9a320f433ef6973d660?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.564,0.209,3,-8.922,1,0.0317,0.724,3.99e-05,0.107,0.402,109.024,audio_features,0pegFWSUOTiG0sLVEfxtvA,spotify:track:0pegFWSUOTiG0sLVEfxtvA,https://api.spotify.com/v1/tracks/0pegFWSUOTiG0sLVEfxtvA,https://api.spotify.com/v1/audio-analysis/0pegFWSUOTiG0sLVEfxtvA,214667,4
2,Jason Mraz,I Won't Give Up,3WeU5jvi9QBSbwV0hYG66P,I Won't Give Up,05pKAafT85jeeNhZ6kq7HT,59,2012-01-03,240165,False,https://open.spotify.com/track/05pKAafT85jeeNhZ6kq7HT,False,https://p.scdn.co/mp3-preview/4d62676f419f85c61a7153bcff66299a4999b5d0?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,audio_features,05pKAafT85jeeNhZ6kq7HT,spotify:track:05pKAafT85jeeNhZ6kq7HT,https://api.spotify.com/v1/tracks/05pKAafT85jeeNhZ6kq7HT,https://api.spotify.com/v1/audio-analysis/05pKAafT85jeeNhZ6kq7HT,240166,3
3,Matt Wertz,Snow Globe,2QeQdjFySaElQydbLlFILa,Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,55,2012-10-12,152306,False,https://open.spotify.com/track/0BP7hSvLAG3URGrEvNNbGM,False,https://p.scdn.co/mp3-preview/badb8d3057c6110dbfee245944d2dd4428d00a2a?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.575,0.606,9,-8.197,1,0.03,0.0119,0.0,0.0675,0.364,121.083,audio_features,0BP7hSvLAG3URGrEvNNbGM,spotify:track:0BP7hSvLAG3URGrEvNNbGM,https://api.spotify.com/v1/tracks/0BP7hSvLAG3URGrEvNNbGM,https://api.spotify.com/v1/audio-analysis/0BP7hSvLAG3URGrEvNNbGM,152307,4
4,Brandi Carlile,Bear Creek,5b8YTIrc88vdnfRguZqvVE,Raise Hell,4TWn4YeBaTqDURrYLd6k0a,51,2012-06-01,248240,False,https://open.spotify.com/track/4TWn4YeBaTqDURrYLd6k0a,False,https://p.scdn.co/mp3-preview/1d834a1d424f0137454ab99ca1f54ba8aba2d180?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.652,0.773,11,-4.798,0,0.0457,0.228,7.41e-06,0.0972,0.435,105.946,audio_features,4TWn4YeBaTqDURrYLd6k0a,spotify:track:4TWn4YeBaTqDURrYLd6k0a,https://api.spotify.com/v1/tracks/4TWn4YeBaTqDURrYLd6k0a,https://api.spotify.com/v1/audio-analysis/4TWn4YeBaTqDURrYLd6k0a,248240,4
5,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),64SChsjQBiEe3aVTFYnW1b,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,48,2012-04-13,216386,False,https://open.spotify.com/track/1s8tP3jP4GZcyHDsjvw218,False,https://p.scdn.co/mp3-preview/e6308facb6a3c06b64f8a7f4c51289d12f9a7f43?cid=78e434819ce74de2a9da9bd344483f65,7,acoustic,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,audio_features,1s8tP3jP4GZcyHDsjvw218,spotify:track:1s8tP3jP4GZcyHDsjvw218,https://api.spotify.com/v1/tracks/1s8tP3jP4GZcyHDsjvw218,https://api.spotify.com/v1/audio-analysis/1s8tP3jP4GZcyHDsjvw218,216387,4
6,Joshua Hyslop,Where The Mountain Meets The Valley,5fphtHzTlavhYlbeSDvNO1,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012-05-15,158960,False,https://open.spotify.com/track/7BRCa8MPiyuvr2VU3O9W0F,False,https://p.scdn.co/mp3-preview/a2fb81babdf8fa10a35660943a8e7f47b4584308?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,audio_features,7BRCa8MPiyuvr2VU3O9W0F,spotify:track:7BRCa8MPiyuvr2VU3O9W0F,https://api.spotify.com/v1/tracks/7BRCa8MPiyuvr2VU3O9W0F,https://api.spotify.com/v1/audio-analysis/7BRCa8MPiyuvr2VU3O9W0F,158960,4
7,Boyce Avenue,"Cover Sessions, Vol. 2",7hh9qCfFuLlaMpjCMzTiZz,Fast Car,63wsZUhUZLlh1OsyrZq7sz,57,2012-07-24,304293,False,https://open.spotify.com/track/63wsZUhUZLlh1OsyrZq7sz,False,https://p.scdn.co/mp3-preview/f1cd62d6fda1d4fa099c5a6ed04f80c4dbd2f5f3?cid=78e434819ce74de2a9da9bd344483f65,6,acoustic,0.392,0.251,10,-9.845,1,0.0363,0.807,0.0,0.0797,0.508,204.961,audio_features,63wsZUhUZLlh1OsyrZq7sz,spotify:track:63wsZUhUZLlh1OsyrZq7sz,https://api.spotify.com/v1/tracks/63wsZUhUZLlh1OsyrZq7sz,https://api.spotify.com/v1/audio-analysis/63wsZUhUZLlh1OsyrZq7sz,304293,4
8,Jason Mraz,A Very Special Christmas 25th Anniversary,4hj1YWhD0NfnO22F8rm21b,Winter Wonderland,0zXjeGMMe7esPTvqJCN5d8,44,2012-01-01,127080,False,https://open.spotify.com/track/0zXjeGMMe7esPTvqJCN5d8,False,https://p.scdn.co/mp3-preview/5b394b211068c0e1b80a4895f76a924f0af92bc9?cid=78e434819ce74de2a9da9bd344483f65,13,acoustic,0.609,0.359,5,-6.715,1,0.0468,0.777,0.0,0.221,0.645,145.178,audio_features,0zXjeGMMe7esPTvqJCN5d8,spotify:track:0zXjeGMMe7esPTvqJCN5d8,https://api.spotify.com/v1/tracks/0zXjeGMMe7esPTvqJCN5d8,https://api.spotify.com/v1/audio-analysis/0zXjeGMMe7esPTvqJCN5d8,127080,4
9,Andrew Belle,The Daylight EP,1ySOjsIsZDMlAIkEPGUHTN,Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,54,2012-02-28,244320,False,https://open.spotify.com/track/6nXIYClvJAfi6ujLiKqEq8,False,https://p.scdn.co/mp3-preview/c7446c20ae29ec3e836813b95c767b3b43c1208b?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,audio_features,6nXIYClvJAfi6ujLiKqEq8,spotify:track:6nXIYClvJAfi6ujLiKqEq8,https://api.spotify.com/v1/tracks/6nXIYClvJAfi6ujLiKqEq8,https://api.spotify.com/v1/audio-analysis/6nXIYClvJAfi6ujLiKqEq8,244320,4
