,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Sara Bareilles,Kaleidoscope Heart,627ukPRwYxyBREHxBq0vGJ,Gonna Get Over You,45ou2UBThJA4WtFGIiYLI3,45,2010-09-07,256306,False,https://open.spotify.com/track/45ou2UBThJA4WtFGIiYLI3,False,https://p.scdn.co/mp3-preview/627b5a102fbb6007626c346be25de596de7e378d?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.619,0.799,0,-4.642,1,0.0301,0.0199,0.0,0.126,0.605,142.033,audio_features,45ou2UBThJA4WtFGIiYLI3,spotify:track:45ou2UBThJA4WtFGIiYLI3,https://api.spotify.com/v1/tracks/45ou2UBThJA4WtFGIiYLI3,https://api.spotify.com/v1/audio-analysis/45ou2UBThJA4WtFGIiYLI3,256307,4
11,Lee DeWyze,Live It Up,7CboH139xeHYX5cQkhxYHY,Sweet Serendipity,6206Kvrl6LTMvDomHgEDMH,43,2010-11-12,198280,False,https://open.spotify.com/track/6206Kvrl6LTMvDomHgEDMH,False,https://p.scdn.co/mp3-preview/744bc99a917de75ad4e91ee80ee8f36e36a47070?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.456,0.873,10,-3.545,1,0.0365,0.00651,0.0,0.104,0.759,188.063,audio_features,6206Kvrl6LTMvDomHgEDMH,spotify:track:6206Kvrl6LTMvDomHgEDMH,https://api.spotify.com/v1/tracks/6206Kvrl6LTMvDomHgEDMH,https://api.spotify.com/v1/audio-analysis/6206Kvrl6LTMvDomHgEDMH,198280,4
12,Sara Bareilles,Kaleidoscope Heart,627ukPRwYxyBREHxBq0vGJ,Uncharted,7hEbLvHSHpmMZXuuw2nmmH,43,2010-09-07,214893,False,https://open.spotify.com/track/7hEbLvHSHpmMZXuuw2nmmH,False,https://p.scdn.co/mp3-preview/e527be86724da5c9cc71d472311667d1cf9874e1?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.456,0.728,1,-3.725,1,0.0435,0.285,0.0,0.0343,0.724,203.962,audio_features,7hEbLvHSHpmMZXuuw2nmmH,spotify:track:7hEbLvHSHpmMZXuuw2nmmH,https://api.spotify.com/v1/tracks/7hEbLvHSHpmMZXuuw2nmmH,https://api.spotify.com/v1/audio-analysis/7hEbLvHSHpmMZXuuw2nmmH,214320,4
13,Sara Bareilles,Kaleidoscope Heart,627ukPRwYxyBREHxBq0vGJ,Breathe Again,0UgmLwOrTeOCUNwV07a5AD,46,2010-09-07,298280,False,https://open.spotify.com/track/0UgmLwOrTeOCUNwV07a5AD,False,https://p.scdn.co/mp3-preview/74077326041542b099690412e2972ea09db9177e?cid=78e434819ce74de2a9da9bd344483f65,12,acoustic,0.366,0.482,5,-7.9,1,0.0278,0.288,0.00655,0.117,0.278,169.677,audio_features,0UgmLwOrTeOCUNwV07a5AD,spotify:track:0UgmLwOrTeOCUNwV07a5AD,https://api.spotify.com/v1/tracks/0UgmLwOrTeOCUNwV07a5AD,https://api.spotify.com/v1/audio-analysis/0UgmLwOrTeOCUNwV07a5AD,298098,4
14,Dave Barnes,"What We Want, What We Get",3M7Z5G7yTzdwncFXnF5vZ6,God Gave Me You,28lU91CRfUdWJEY7KbhZBL,42,2010-04-06,228960,False,https://open.spotify.com/track/28lU91CRfUdWJEY7KbhZBL,False,https://p.scdn.co/mp3-preview/7c0677c1147fa04c70b611518a0e6fd04d39ebe7?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.459,0.823,4,-6.481,1,0.037,0.00332,1.75e-05,0.189,0.55,152.062,audio_features,28lU91CRfUdWJEY7KbhZBL,spotify:track:28lU91CRfUdWJEY7KbhZBL,https://api.spotify.com/v1/tracks/28lU91CRfUdWJEY7KbhZBL,https://api.spotify.com/v1/audio-analysis/28lU91CRfUdWJEY7KbhZBL,228960,4
15,Five For Fighting,Slice,2POpSYIitmzUOvw7i6lqKT,Slice,4wq2BmCpeBWdINtAdsXRkN,43,2010-06-15,214160,False,https://open.spotify.com/track/4wq2BmCpeBWdINtAdsXRkN,False,https://p.scdn.co/mp3-preview/784fe967ecefab8679caf0ec9d885f1138165731?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.587,0.686,11,-6.448,1,0.0327,0.14,0.0,0.123,0.33,127.936,audio_features,4wq2BmCpeBWdINtAdsXRkN,spotify:track:4wq2BmCpeBWdINtAdsXRkN,https://api.spotify.com/v1/tracks/4wq2BmCpeBWdINtAdsXRkN,https://api.spotify.com/v1/audio-analysis/4wq2BmCpeBWdINtAdsXRkN,214160,4
16,The Weepies,Be My Thrill,2gnifaY7SP8mHGLawS9gSf,Be My Honeypie,66fGXwB9WqvdDDf0IiDmuB,45,2010-08-31,130639,False,https://open.spotify.com/track/66fGXwB9WqvdDDf0IiDmuB,False,https://p.scdn.co/mp3-preview/35c3927df0c0f66d2b795946520cc03c25260de5?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.61,0.623,10,-9.949,0,0.0303,0.189,0.475,0.158,0.878,77.512,audio_features,66fGXwB9WqvdDDf0IiDmuB,spotify:track:66fGXwB9WqvdDDf0IiDmuB,https://api.spotify.com/v1/tracks/66fGXwB9WqvdDDf0IiDmuB,https://api.spotify.com/v1/audio-analysis/66fGXwB9WqvdDDf0IiDmuB,130640,4
17,"Defiance, Ohio",Midwestern Minutes,3ZYbEB9IYzSAVwYRIyLe9w,You Are Loved,5n7VRrWOauM64haQHKd8QM,41,2010,188986,False,https://open.spotify.com/track/5n7VRrWOauM64haQHKd8QM,False,https://p.scdn.co/mp3-preview/9f7ed4621c6377e349d929632b46e8277bc621f3?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.476,0.608,7,-7.133,1,0.0495,0.641,2.27e-06,0.0771,0.63,125.757,audio_features,5n7VRrWOauM64haQHKd8QM,spotify:track:5n7VRrWOauM64haQHKd8QM,https://api.spotify.com/v1/tracks/5n7VRrWOauM64haQHKd8QM,https://api.spotify.com/v1/audio-analysis/5n7VRrWOauM64haQHKd8QM,188987,4
18,Ichiko Aoba,Kamisori Otome,2GatVW3cnHi3riWYrr6rQh,kokoro no sekai,1Lu6XoAbnngrTMhO4PXLU0,44,2010-01-20,182226,False,https://open.spotify.com/track/1Lu6XoAbnngrTMhO4PXLU0,False,https://p.scdn.co/mp3-preview/fccedf11872948e4e63028cbf7e42d4001a1f277?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.453,0.0915,5,-13.034,1,0.0333,0.986,0.0129,0.109,0.275,131.896,audio_features,1Lu6XoAbnngrTMhO4PXLU0,spotify:track:1Lu6XoAbnngrTMhO4PXLU0,https://api.spotify.com/v1/tracks/1Lu6XoAbnngrTMhO4PXLU0,https://api.spotify.com/v1/audio-analysis/1Lu6XoAbnngrTMhO4PXLU0,182227,3
19,Tyrone Wells,Metal & Wood,6FXR4DEIYONPfvnTAW1XJV,Happy as the Sun,5VA7nlzlAT7NOCLLb5uMIp,45,2010-03-02,164640,False,https://open.spotify.com/track/5VA7nlzlAT7NOCLLb5uMIp,False,https://p.scdn.co/mp3-preview/8e51debdb8d7c26d22da75680ad8b8c3bf34289e?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.774,0.243,5,-13.227,1,0.0431,0.845,0.0,0.106,0.692,124.976,audio_features,5VA7nlzlAT7NOCLLb5uMIp,spotify:track:5VA7nlzlAT7NOCLLb5uMIp,https://api.spotify.com/v1/tracks/5VA7nlzlAT7NOCLLb5uMIp,https://api.spotify.com/v1/audio-analysis/5VA7nlzlAT7NOCLLb5uMIp,164640,4
